iter	Passed	Remaining
0	156	46668
1	158	23580
2	160	15868
3	162	12004
4	164	9681
5	165	8133
6	167	7014
7	169	6199
8	171	5556
9	174	5048
10	179	4706
11	181	4359
12	184	4063
13	185	3799
14	188	3573
15	189	3371
16	191	3194
17	193	3038
18	196	2898
19	197	2763
20	199	2649
21	201	2542
22	203	2447
23	204	2355
24	206	2275
25	208	2199
26	210	2130
27	212	2065
28	214	2006
29	216	1950
30	218	1897
31	220	1848
32	222	1802
33	224	1756
34	226	1714
35	228	1675
36	230	1637
37	232	1603
38	234	1569
39	236	1537
40	238	1506
41	240	1475
42	242	1447
43	244	1420
44	246	1394
45	247	1368
46	249	1343
47	251	1320
48	253	1298
49	255	1276
50	257	1254
51	258	1234
52	260	1215
53	262	1196
54	264	1177
55	266	1159
56	267	1142
57	269	1125
58	271	1110
59	273	1094
60	276	1081
61	278	1068
62	280	1054
63	282	1040
64	284	1027
65	286	1014
66	287	1001
67	289	988
68	291	976
69	293	964
70	295	952
71	297	940
72	298	929
73	300	918
74	302	907
75	304	898
76	308	893
77	310	883
78	311	872
79	313	862
80	315	852
81	317	842
82	319	834
83	321	825
84	322	816
85	324	807
86	326	799
87	327	790
88	329	781
89	331	773
90	333	766
91	335	758
92	337	751
93	339	743
94	341	736
95	343	729
96	345	722
97	347	715
98	349	709
99	351	702
100	353	696
101	355	689
102	357	683
103	358	676
104	360	670
105	363	665
106	365	659
107	367	653
108	369	647
109	371	642
110	373	636
111	375	630
112	377	625
113	379	619
114	382	614
115	383	609
116	385	603
117	387	597
118	389	592
119	391	587
120	393	581
121	394	576
122	396	570
123	398	565
124	400	560
125	402	555
126	404	550
127	405	545
128	407	540
129	409	535
130	411	530
131	413	525
132	414	521
133	416	516
134	418	511
135	420	507
136	423	504
137	427	501
138	429	497
139	432	494
140	435	490
141	437	486
142	439	482
143	441	478
144	443	474
145	445	470
146	447	466
147	450	462
148	455	462
149	460	460
150	462	456
151	467	454
152	469	450
153	471	446
154	473	442
155	475	439
156	477	435
157	479	431
158	481	427
159	484	424
160	486	420
161	488	416
162	490	412
163	493	409
164	496	406
165	499	403
166	502	400
167	505	396
168	506	392
169	509	389
170	513	387
171	516	384
172	519	381
173	522	378
174	524	374
175	526	371
176	529	367
177	531	364
178	533	360
179	535	357
180	537	353
181	540	350
182	542	346
183	544	343
184	546	339
185	548	336
186	551	333
187	554	330
188	557	327
189	559	323
190	561	320
191	563	317
192	565	313
193	568	310
194	570	307
195	572	303
196	574	300
197	577	297
198	578	293
199	580	290
200	583	287
201	585	283
202	587	280
203	589	277
204	591	274
205	640	292
206	643	289
207	646	285
208	649	282
209	651	279
210	664	280
211	667	276
212	669	273
213	671	269
214	673	266
215	676	263
216	678	259
217	680	256
218	682	252
219	684	249
220	686	245
221	688	241
222	690	238
223	692	234
224	694	231
225	696	228
226	699	224
227	700	221
228	702	217
229	704	214
230	706	211
231	708	207
232	710	204
233	712	201
234	714	197
235	716	194
236	718	191
237	720	187
238	722	184
239	724	181
240	725	177
241	728	174
242	730	171
243	732	168
244	733	164
245	735	161
246	737	158
247	739	155
248	741	151
249	743	148
250	747	145
251	750	142
252	752	139
253	754	136
254	756	133
255	758	130
256	760	127
257	762	124
258	763	120
259	765	117
260	768	114
261	769	111
262	772	108
263	774	105
264	776	102
265	778	99
266	780	96
267	782	93
268	784	90
269	786	87
270	788	84
271	790	81
272	792	78
273	794	75
274	796	72
275	797	69
276	799	66
277	801	63
278	803	60
279	805	57
280	807	54
281	809	51
282	811	48
283	813	45
284	815	42
285	817	40
286	818	37
287	820	34
288	822	31
289	824	28
290	826	25
291	828	22
292	829	19
293	832	16
294	834	14
295	836	11
296	838	8
297	840	5
298	842	2
299	844	0
